missing_rate,run,MSE,method
0.5,0,23.44726149063823,Phenotype_correlation
0.5,0,52.42654591669759,Genotype_correlation
0.5,0,36.83156111656958,Baseline_mixed_model
0.5,1,25.338445454073966,Phenotype_correlation
0.5,1,41.894796492241525,Genotype_correlation
0.5,1,28.69134986585836,Baseline_mixed_model
0.5,2,24.339141746795775,Phenotype_correlation
0.5,2,55.95005221875378,Genotype_correlation
0.5,2,37.87138249590852,Baseline_mixed_model
0.5,3,26.63476894593902,Phenotype_correlation
0.5,3,60.201298322139706,Genotype_correlation
0.5,3,39.8927167242825,Baseline_mixed_model
0.5,4,27.685071628359218,Phenotype_correlation
0.5,4,55.186271725186565,Genotype_correlation
0.5,4,34.95780133496382,Baseline_mixed_model
0.5,5,28.91156915101303,Phenotype_correlation
0.5,5,62.61062608391987,Genotype_correlation
0.5,5,42.61815387160685,Baseline_mixed_model
0.5,6,28.50953174534438,Phenotype_correlation
0.5,6,52.49085455552103,Genotype_correlation
0.5,6,35.20218286345636,Baseline_mixed_model
0.5,7,23.688850651741372,Phenotype_correlation
0.5,7,45.08312957106674,Genotype_correlation
0.5,7,29.863507349289094,Baseline_mixed_model
0.5,8,29.095885920043703,Phenotype_correlation
0.5,8,56.64470931022276,Genotype_correlation
0.5,8,38.49567725894338,Baseline_mixed_model
0.5,9,24.938678856977486,Phenotype_correlation
0.5,9,52.784658771783434,Genotype_correlation
0.5,9,35.10279520326173,Baseline_mixed_model
