missing_rate,run,MSE,method
0.7,0,26.243566291059505,Phenotype_correlation
0.7,0,48.92029491770362,Genotype_correlation
0.7,0,32.52966133267005,Baseline_mixed_model
0.7,1,26.339278602891895,Phenotype_correlation
0.7,1,52.17438207283784,Genotype_correlation
0.7,1,34.77370124598029,Baseline_mixed_model
0.7,2,25.972509027344937,Phenotype_correlation
0.7,2,43.63897131943196,Genotype_correlation
0.7,2,30.417191973121817,Baseline_mixed_model
0.7,3,27.55494781388341,Phenotype_correlation
0.7,3,43.00548181559481,Genotype_correlation
0.7,3,29.48420595422687,Baseline_mixed_model
0.7,4,25.78531644859423,Phenotype_correlation
0.7,4,47.29567892479836,Genotype_correlation
0.7,4,32.5290555560765,Baseline_mixed_model
0.7,5,26.101979288789565,Phenotype_correlation
0.7,5,54.894522862701024,Genotype_correlation
0.7,5,36.506681658447675,Baseline_mixed_model
0.7,6,23.812372223414474,Phenotype_correlation
0.7,6,47.178824995032976,Genotype_correlation
0.7,6,31.562348701256038,Baseline_mixed_model
0.7,7,27.81994538918748,Phenotype_correlation
0.7,7,58.329488471247124,Genotype_correlation
0.7,7,39.003151459331704,Baseline_mixed_model
0.7,8,24.3907223956216,Phenotype_correlation
0.7,8,50.90517180175158,Genotype_correlation
0.7,8,34.410369559163854,Baseline_mixed_model
0.7,9,29.4523810809041,Phenotype_correlation
0.7,9,59.7837318384777,Genotype_correlation
0.7,9,40.56014449447395,Baseline_mixed_model
