missing_rate,run,MSE,method
0.4,0,28.001846656115436,Phenotype_correlation
0.4,0,50.48534813314243,Genotype_correlation
0.4,0,33.1174504472266,Baseline_mixed_model
0.4,1,25.26867479069701,Phenotype_correlation
0.4,1,49.75111446525226,Genotype_correlation
0.4,1,34.146569501209605,Baseline_mixed_model
0.4,2,28.699335927673257,Phenotype_correlation
0.4,2,47.68249648292565,Genotype_correlation
0.4,2,31.610093201847675,Baseline_mixed_model
0.4,3,24.777730272611674,Phenotype_correlation
0.4,3,41.382257484422254,Genotype_correlation
0.4,3,28.48213391674072,Baseline_mixed_model
0.4,4,24.448360598643255,Phenotype_correlation
0.4,4,55.466815788446084,Genotype_correlation
0.4,4,37.89083609657566,Baseline_mixed_model
0.4,5,23.415462552078953,Phenotype_correlation
0.4,5,49.408097012236475,Genotype_correlation
0.4,5,31.926500713584584,Baseline_mixed_model
0.4,6,25.114052024311412,Phenotype_correlation
0.4,6,42.8874943722503,Genotype_correlation
0.4,6,29.800789587479997,Baseline_mixed_model
0.4,7,31.714113502644622,Phenotype_correlation
0.4,7,60.129657831554226,Genotype_correlation
0.4,7,40.843263370898306,Baseline_mixed_model
0.4,8,36.0092977966319,Phenotype_correlation
0.4,8,61.79629854377035,Genotype_correlation
0.4,8,42.9879061993899,Baseline_mixed_model
0.4,9,27.018619130067673,Phenotype_correlation
0.4,9,66.52587561068,Genotype_correlation
0.4,9,43.66487396387168,Baseline_mixed_model
