missing_rate,run,MSE,method
0.2,0,28.333138660379056,Phenotype_correlation
0.2,0,51.56121138352458,Genotype_correlation
0.2,0,34.41209472507553,Baseline_mixed_model
0.2,1,25.09394946390898,Phenotype_correlation
0.2,1,47.66420688339187,Genotype_correlation
0.2,1,31.503234480058186,Baseline_mixed_model
0.2,2,34.31060987800918,Phenotype_correlation
0.2,2,56.62444104087796,Genotype_correlation
0.2,2,39.47989073503302,Baseline_mixed_model
0.2,3,31.38523536891333,Phenotype_correlation
0.2,3,45.417709933650364,Genotype_correlation
0.2,3,32.19234593314675,Baseline_mixed_model
0.2,4,22.35317913253123,Phenotype_correlation
0.2,4,45.37287291316818,Genotype_correlation
0.2,4,31.099050288502927,Baseline_mixed_model
0.2,5,21.92996042504336,Phenotype_correlation
0.2,5,48.4451772516813,Genotype_correlation
0.2,5,33.26247272817447,Baseline_mixed_model
0.2,6,31.058876773876726,Phenotype_correlation
0.2,6,69.687182135827,Genotype_correlation
0.2,6,48.96094846266669,Baseline_mixed_model
0.2,7,21.350221332149445,Phenotype_correlation
0.2,7,43.78211498637335,Genotype_correlation
0.2,7,26.48719143637373,Baseline_mixed_model
0.2,8,30.99935272915451,Phenotype_correlation
0.2,8,51.22999832112073,Genotype_correlation
0.2,8,34.33600190006404,Baseline_mixed_model
0.2,9,28.963042623938545,Phenotype_correlation
0.2,9,55.58194604930786,Genotype_correlation
0.2,9,36.858660227246006,Baseline_mixed_model
