missing_rate,run,MSE,method
0.45,0,25.338572331765317,Phenotype_correlation
0.45,0,55.06736721962505,Genotype_correlation
0.45,0,38.126897491346526,Baseline_mixed_model
0.45,1,31.581416881080674,Phenotype_correlation
0.45,1,55.553727584024166,Genotype_correlation
0.45,1,37.12859361368977,Baseline_mixed_model
0.45,2,24.974339647067772,Phenotype_correlation
0.45,2,51.30482927572585,Genotype_correlation
0.45,2,33.65362515370167,Baseline_mixed_model
0.45,3,25.53053116285338,Phenotype_correlation
0.45,3,52.88573032983651,Genotype_correlation
0.45,3,38.76160617824849,Baseline_mixed_model
0.45,4,27.421295248382258,Phenotype_correlation
0.45,4,54.20265974164596,Genotype_correlation
0.45,4,35.47575301807984,Baseline_mixed_model
0.45,5,24.438356463646706,Phenotype_correlation
0.45,5,57.114793019297544,Genotype_correlation
0.45,5,38.58018507171012,Baseline_mixed_model
0.45,6,29.88263440900538,Phenotype_correlation
0.45,6,54.291193747479056,Genotype_correlation
0.45,6,35.63758286059035,Baseline_mixed_model
0.45,7,27.949832058476055,Phenotype_correlation
0.45,7,64.72717153065098,Genotype_correlation
0.45,7,44.72295488276294,Baseline_mixed_model
0.45,8,23.19350613813076,Phenotype_correlation
0.45,8,41.336217285481055,Genotype_correlation
0.45,8,27.94247302720525,Baseline_mixed_model
0.45,9,32.98623759207069,Phenotype_correlation
0.45,9,65.93692011385802,Genotype_correlation
0.45,9,45.421341078327806,Baseline_mixed_model
