missing_rate,run,MSE,method
0.15,0,33.52315242597301,Phenotype_correlation
0.15,0,66.45104447252105,Genotype_correlation
0.15,0,43.06903305901377,Baseline_mixed_model
0.15,1,25.95580817132854,Phenotype_correlation
0.15,1,65.77143999832124,Genotype_correlation
0.15,1,43.7646756240498,Baseline_mixed_model
0.15,2,38.92158420650767,Phenotype_correlation
0.15,2,54.63048209542568,Genotype_correlation
0.15,2,41.651948011978064,Baseline_mixed_model
0.15,3,31.437128731721188,Phenotype_correlation
0.15,3,56.08014382602618,Genotype_correlation
0.15,3,37.87530718190415,Baseline_mixed_model
0.15,4,26.114327343831725,Phenotype_correlation
0.15,4,49.22108451750506,Genotype_correlation
0.15,4,35.07829160309852,Baseline_mixed_model
0.15,5,23.331243835440223,Phenotype_correlation
0.15,5,57.58240767374549,Genotype_correlation
0.15,5,38.30724744524729,Baseline_mixed_model
0.15,6,28.017240424395368,Phenotype_correlation
0.15,6,48.41239416423811,Genotype_correlation
0.15,6,33.44184119901156,Baseline_mixed_model
0.15,7,12.944626788508204,Phenotype_correlation
0.15,7,35.801459329921684,Genotype_correlation
0.15,7,20.592099757996277,Baseline_mixed_model
0.15,8,26.034036989038537,Phenotype_correlation
0.15,8,54.11153658749769,Genotype_correlation
0.15,8,33.932516536760666,Baseline_mixed_model
0.15,9,22.00479216979577,Phenotype_correlation
0.15,9,55.54850603956565,Genotype_correlation
0.15,9,36.01823767823812,Baseline_mixed_model
