missing_rate,run,MSE,method
0.35,0,30.160339488066764,Phenotype_correlation
0.35,0,63.71819333455626,Genotype_correlation
0.35,0,44.73704660452114,Baseline_mixed_model
0.35,1,24.12703851365697,Phenotype_correlation
0.35,1,40.715324282678154,Genotype_correlation
0.35,1,28.01783702997506,Baseline_mixed_model
0.35,2,26.160914064876373,Phenotype_correlation
0.35,2,52.100729462146745,Genotype_correlation
0.35,2,34.113338849644784,Baseline_mixed_model
0.35,3,24.470648916387738,Phenotype_correlation
0.35,3,57.63437642989494,Genotype_correlation
0.35,3,39.65522970504102,Baseline_mixed_model
0.35,4,27.257112618241294,Phenotype_correlation
0.35,4,55.397583017214956,Genotype_correlation
0.35,4,37.818265196468666,Baseline_mixed_model
0.35,5,34.393286163086046,Phenotype_correlation
0.35,5,63.182561290696505,Genotype_correlation
0.35,5,44.99792888000335,Baseline_mixed_model
0.35,6,29.5674199847762,Phenotype_correlation
0.35,6,75.56049841138658,Genotype_correlation
0.35,6,52.148740893601556,Baseline_mixed_model
0.35,7,25.64836753132969,Phenotype_correlation
0.35,7,51.6303501602421,Genotype_correlation
0.35,7,34.33294056244661,Baseline_mixed_model
0.35,8,34.61964356161671,Phenotype_correlation
0.35,8,68.81401235801596,Genotype_correlation
0.35,8,43.28200636224409,Baseline_mixed_model
0.35,9,25.725759938139902,Phenotype_correlation
0.35,9,45.2204807642582,Genotype_correlation
0.35,9,28.98653097157771,Baseline_mixed_model
