missing_rate,run,MSE,method
0.25,0,30.473676431134177,Phenotype_correlation
0.25,0,69.07770122743337,Genotype_correlation
0.25,0,46.51152377075229,Baseline_mixed_model
0.25,1,32.39484577946357,Phenotype_correlation
0.25,1,66.86696450634905,Genotype_correlation
0.25,1,43.687756198218544,Baseline_mixed_model
0.25,2,21.427458111060886,Phenotype_correlation
0.25,2,37.18958883724829,Genotype_correlation
0.25,2,24.01699516127228,Baseline_mixed_model
0.25,3,21.787461103957813,Phenotype_correlation
0.25,3,44.53582088069539,Genotype_correlation
0.25,3,28.33521469932672,Baseline_mixed_model
0.25,4,25.724395145727986,Phenotype_correlation
0.25,4,60.21796527238527,Genotype_correlation
0.25,4,41.98286517051351,Baseline_mixed_model
0.25,5,23.744347928641414,Phenotype_correlation
0.25,5,47.834747234289175,Genotype_correlation
0.25,5,30.867667699697297,Baseline_mixed_model
0.25,6,27.985816158654547,Phenotype_correlation
0.25,6,57.74281799121631,Genotype_correlation
0.25,6,36.26741329102863,Baseline_mixed_model
0.25,7,19.711991011455062,Phenotype_correlation
0.25,7,49.264916751943524,Genotype_correlation
0.25,7,31.35864047449948,Baseline_mixed_model
0.25,8,18.7415853222266,Phenotype_correlation
0.25,8,49.81514074722923,Genotype_correlation
0.25,8,32.03662687281262,Baseline_mixed_model
0.25,9,31.189149050832892,Phenotype_correlation
0.25,9,65.44648352955002,Genotype_correlation
0.25,9,46.13880434456234,Baseline_mixed_model
